Condition	Frequency	Block	Timing File	TaskObject#1	TaskObject#2	TaskObject#3	TaskObject#4
1	3	1 2 3 4 5 6 7 8 9 10 11	dms	fix(0.00,0.00)	pic(cir0.png,-6.00,-6.00,360.39,360.39)	pic(cir0.png,-10.00,0.00,360.39,360.39)	pic(rad0.png,10.00,0.00,360.39,360.39)
2	3	1 2 3 4 5 6 7 8 9 10 11	dms	fix(0.00,0.00)	pic(cir0.png,-6.00,-6.00,360.39,360.39)	pic(cir0.png,10.00,0.00,360.39,360.39)	pic(rad0.png,-10.00,0.00,360.39,360.39)
3	2	1 2 3 4 5 6 7 8 9 10 11	dms	fix(0.00,0.00)	pic(rad0.png,-6.00,-6.00,360.39,360.39)	pic(rad0.png,-10.00,0.00,360.39,360.39)	pic(cir0.png,10.00,0.00,360.39,360.39)
4	2	1 2 3 4 5 6 7 8 9 10 11	dms	fix(0.00,0.00)	pic(rad0.png,-6.00,-6.00,360.39,360.39)	pic(rad0.png,10.00,0.00,360.39,360.39)	pic(cir0.png,-10.00,0.00,360.39,360.39)
5	2	2 3 4 5 6 7 8 9 10	dms	fix(0.00,0.00)	pic(cir6.png,-6.00,-6.00,360.39,360.39)	pic(cir0.png,-10.00,0.00,360.39,360.39)	pic(rad0.png,10.00,0.00,360.39,360.39)
6	2	2 3 4 5 6 7 8 9 10	dms	fix(0.00,0.00)	pic(cir6.png,-6.00,-6.00,360.39,360.39)	pic(cir0.png,10.00,0.00,360.39,360.39)	pic(rad0.png,-10.00,0.00,360.39,360.39)
7	2	2 3 4 5 6 7 8 9 10	dms	fix(0.00,0.00)	pic(rad6.png,-6.00,-6.00,360.39,360.39)	pic(rad0.png,-10.00,0.00,360.39,360.39)	pic(cir0.png,10.00,0.00,360.39,360.39)
8	2	2 3 4 5 6 7 8 9 10	dms	fix(0.00,0.00)	pic(rad6.png,-6.00,-6.00,360.39,360.39)	pic(rad0.png,10.00,0.00,360.39,360.39)	pic(cir0.png,-10.00,0.00,360.39,360.39)
9	2	3 4 5 6 7 8 9 10	dms	fix(0.00,0.00)	pic(cir14.png,-6.00,-6.00,360.39,360.39)	pic(cir0.png,-10.00,0.00,360.39,360.39)	pic(rad0.png,10.00,0.00,360.39,360.39)
10	2	3 4 5 6 7 8 9 10	dms	fix(0.00,0.00)	pic(cir14.png,-6.00,-6.00,360.39,360.39)	pic(cir0.png,10.00,0.00,360.39,360.39)	pic(rad0.png,-10.00,0.00,360.39,360.39)
11	2	3 4 5 6 7 8 9 10	dms	fix(0.00,0.00)	pic(rad14.png,-6.00,-6.00,360.39,360.39)	pic(rad0.png,-10.00,0.00,360.39,360.39)	pic(cir0.png,10.00,0.00,360.39,360.39)
12	2	3 4 5 6 7 8 9 10	dms	fix(0.00,0.00)	pic(rad14.png,-6.00,-6.00,360.39,360.39)	pic(rad0.png,10.00,0.00,360.39,360.39)	pic(cir0.png,-10.00,0.00,360.39,360.39)
13	2	4 5 6 7 8 9 10	dms	fix(0.00,0.00)	pic(cir28.png,-6.00,-6.00,360.39,360.39)	pic(cir0.png,-10.00,0.00,360.39,360.39)	pic(rad0.png,10.00,0.00,360.39,360.39)
14	2	4 5 6 7 8 9 10	dms	fix(0.00,0.00)	pic(cir28.png,-6.00,-6.00,360.39,360.39)	pic(cir0.png,10.00,0.00,360.39,360.39)	pic(rad0.png,-10.00,0.00,360.39,360.39)
15	4	4 5 6 7 8 9 10	dms	fix(0.00,0.00)	pic(rad28.png,-6.00,-6.00,360.39,360.39)	pic(rad0.png,-10.00,0.00,360.39,360.39)	pic(cir0.png,10.00,0.00,360.39,360.39)
16	4	4 5 6 7 8 9 10	dms	fix(0.00,0.00)	pic(rad28.png,-6.00,-6.00,360.39,360.39)	pic(rad0.png,10.00,0.00,360.39,360.39)	pic(cir0.png,-10.00,0.00,360.39,360.39)
17	2	5 6 7 8 9 10	dms	fix(0.00,0.00)	pic(cir49.png,-6.00,-6.00,360.39,360.39)	pic(cir0.png,-10.00,0.00,360.39,360.39)	pic(rad0.png,10.00,0.00,360.39,360.39)
18	2	5 6 7 8 9 10	dms	fix(0.00,0.00)	pic(cir49.png,-6.00,-6.00,360.39,360.39)	pic(cir0.png,10.00,0.00,360.39,360.39)	pic(rad0.png,-10.00,0.00,360.39,360.39)
19	8	5 6 7 8 9 10	dms	fix(0.00,0.00)	pic(rad49.png,-6.00,-6.00,360.39,360.39)	pic(rad0.png,-10.00,0.00,360.39,360.39)	pic(cir0.png,10.00,0.00,360.39,360.39)
20	8	5 6 7 8 9 10	dms	fix(0.00,0.00)	pic(rad49.png,-6.00,-6.00,360.39,360.39)	pic(rad0.png,10.00,0.00,360.39,360.39)	pic(cir0.png,-10.00,0.00,360.39,360.39)
21	3	6 7 8 9 10	dms	fix(0.00,0.00)	pic(cir71.png,-6.00,-6.00,360.39,360.39)	pic(cir0.png,-10.00,0.00,360.39,360.39)	pic(rad0.png,10.00,0.00,360.39,360.39)
