Condition	Frequency	Block	Timing File	TaskObject#1	TaskObject#2	TaskObject#3	TaskObject#4	TaskObject#5	TaskObject#6	TaskObject#7	TaskObject#8	TaskObject#9	TaskObject#10	TaskObject#11	TaskObject#12	TaskObject#13	TaskObject#14	TaskObject#15	TaskObject#16	TaskObject#17	TaskObject#18	TaskObject#19	TaskObject#20	TaskObject#21
11	1	1	stimulus_show20img	fix(0.00,0.00)	pic(stim077.png,-10.00,-3.00,720.78,720.78)	pic(stim408.png,-10.00,-3.00,720.78,720.78)	pic(stim153.png,-10.00,-3.00,720.78,720.78)	pic(stim147.png,-10.00,-3.00,720.78,720.78)	pic(stim494.png,-10.00,-3.00,720.78,720.78)	pic(stim105.png,-10.00,-3.00,720.78,720.78)	pic(stim184.png,-10.00,-3.00,720.78,720.78)	pic(stim604.png,-10.00,-3.00,720.78,720.78)	pic(stim237.png,-10.00,-3.00,720.78,720.78)	pic(stim033.png,-10.00,-3.00,720.78,720.78)	pic(stim098.png,-10.00,-3.00,720.78,720.78)	pic(stim071.png,-10.00,-3.00,720.78,720.78)	pic(stim282.png,-10.00,-3.00,720.78,720.78)	pic(stim532.png,-10.00,-3.00,720.78,720.78)	pic(stim236.png,-10.00,-3.00,720.78,720.78)	pic(stim330.png,-10.00,-3.00,720.78,720.78)	pic(stim017.png,-10.00,-3.00,720.78,720.78)	pic(stim558.png,-10.00,-3.00,720.78,720.78)	pic(stim179.png,-10.00,-3.00,720.78,720.78)	pic(stim037.png,-10.00,-3.00,720.78,720.78)
12	1	1	stimulus_show20img	fix(0.00,0.00)	pic(stim587.png,-10.00,-3.00,720.78,720.78)	pic(stim364.png,-10.00,-3.00,720.78,720.78)	pic(stim512.png,-10.00,-3.00,720.78,720.78)	pic(stim474.png,-10.00,-3.00,720.78,720.78)	pic(stim625.png,-10.00,-3.00,720.78,720.78)	pic(stim210.png,-10.00,-3.00,720.78,720.78)	pic(stim144.png,-10.00,-3.00,720.78,720.78)	pic(stim234.png,-10.00,-3.00,720.78,720.78)	pic(stim421.png,-10.00,-3.00,720.78,720.78)	pic(stim495.png,-10.00,-3.00,720.78,720.78)	pic(stim401.png,-10.00,-3.00,720.78,720.78)	pic(stim087.png,-10.00,-3.00,720.78,720.78)	pic(stim540.png,-10.00,-3.00,720.78,720.78)	pic(stim158.png,-10.00,-3.00,720.78,720.78)	pic(stim223.png,-10.00,-3.00,720.78,720.78)	pic(stim585.png,-10.00,-3.00,720.78,720.78)	pic(stim379.png,-10.00,-3.00,720.78,720.78)	pic(stim434.png,-10.00,-3.00,720.78,720.78)	pic(stim222.png,-10.00,-3.00,720.78,720.78)	pic(stim065.png,-10.00,-3.00,720.78,720.78)
13	1	1	stimulus_show20img	fix(0.00,0.00)	pic(stim063.png,-10.00,-3.00,720.78,720.78)	pic(stim083.png,-10.00,-3.00,720.78,720.78)	pic(stim406.png,-10.00,-3.00,720.78,720.78)	pic(stim016.png,-10.00,-3.00,720.78,720.78)	pic(stim458.png,-10.00,-3.00,720.78,720.78)	pic(stim224.png,-10.00,-3.00,720.78,720.78)	pic(stim039.png,-10.00,-3.00,720.78,720.78)	pic(stim079.png,-10.00,-3.00,720.78,720.78)	pic(stim269.png,-10.00,-3.00,720.78,720.78)	pic(stim610.png,-10.00,-3.00,720.78,720.78)	pic(stim440.png,-10.00,-3.00,720.78,720.78)	pic(stim517.png,-10.00,-3.00,720.78,720.78)	pic(stim203.png,-10.00,-3.00,720.78,720.78)	pic(stim350.png,-10.00,-3.00,720.78,720.78)	pic(stim202.png,-10.00,-3.00,720.78,720.78)	pic(stim412.png,-10.00,-3.00,720.78,720.78)	pic(stim426.png,-10.00,-3.00,720.78,720.78)	pic(stim304.png,-10.00,-3.00,720.78,720.78)	pic(stim639.png,-10.00,-3.00,720.78,720.78)	pic(stim481.png,-10.00,-3.00,720.78,720.78)
14	1	1	stimulus_show20img	fix(0.00,0.00)	pic(stim192.png,-10.00,-3.00,720.78,720.78)	pic(stim014.png,-10.00,-3.00,720.78,720.78)	pic(stim582.png,-10.00,-3.00,720.78,720.78)	pic(stim050.png,-10.00,-3.00,720.78,720.78)	pic(stim250.png,-10.00,-3.00,720.78,720.78)	pic(stim619.png,-10.00,-3.00,720.78,720.78)	pic(stim002.png,-10.00,-3.00,720.78,720.78)	pic(stim533.png,-10.00,-3.00,720.78,720.78)	pic(stim385.png,-10.00,-3.00,720.78,720.78)	pic(stim547.png,-10.00,-3.00,720.78,720.78)	pic(stim164.png,-10.00,-3.00,720.78,720.78)	pic(stim182.png,-10.00,-3.00,720.78,720.78)	pic(stim432.png,-10.00,-3.00,720.78,720.78)	pic(stim360.png,-10.00,-3.00,720.78,720.78)	pic(stim348.png,-10.00,-3.00,720.78,720.78)	pic(stim438.png,-10.00,-3.00,720.78,720.78)	pic(stim548.png,-10.00,-3.00,720.78,720.78)	pic(stim104.png,-10.00,-3.00,720.78,720.78)	pic(stim492.png,-10.00,-3.00,720.78,720.78)	pic(stim204.png,-10.00,-3.00,720.78,720.78)
15	1	1	stimulus_show20img	fix(0.00,0.00)	pic(stim327.png,-10.00,-3.00,720.78,720.78)	pic(stim486.png,-10.00,-3.00,720.78,720.78)	pic(stim397.png,-10.00,-3.00,720.78,720.78)	pic(stim321.png,-10.00,-3.00,720.78,720.78)	pic(stim446.png,-10.00,-3.00,720.78,720.78)	pic(stim174.png,-10.00,-3.00,720.78,720.78)	pic(stim442.png,-10.00,-3.00,720.78,720.78)	pic(stim343.png,-10.00,-3.00,720.78,720.78)	pic(stim618.png,-10.00,-3.00,720.78,720.78)	pic(stim445.png,-10.00,-3.00,720.78,720.78)	pic(stim061.png,-10.00,-3.00,720.78,720.78)	pic(stim373.png,-10.00,-3.00,720.78,720.78)	pic(stim051.png,-10.00,-3.00,720.78,720.78)	pic(stim074.png,-10.00,-3.00,720.78,720.78)	pic(stim498.png,-10.00,-3.00,720.78,720.78)	pic(stim411.png,-10.00,-3.00,720.78,720.78)	pic(stim120.png,-10.00,-3.00,720.78,720.78)	pic(stim277.png,-10.00,-3.00,720.78,720.78)	pic(stim208.png,-10.00,-3.00,720.78,720.78)	pic(stim133.png,-10.00,-3.00,720.78,720.78)
16	1	1	stimulus_show20img	fix(0.00,0.00)	pic(stim112.png,-10.00,-3.00,720.78,720.78)	pic(stim502.png,-10.00,-3.00,720.78,720.78)	pic(stim375.png,-10.00,-3.00,720.78,720.78)	pic(stim315.png,-10.00,-3.00,720.78,720.78)	pic(stim027.png,-10.00,-3.00,720.78,720.78)	pic(stim318.png,-10.00,-3.00,720.78,720.78)	pic(stim471.png,-10.00,-3.00,720.78,720.78)	pic(stim357.png,-10.00,-3.00,720.78,720.78)	pic(stim196.png,-10.00,-3.00,720.78,720.78)	pic(stim238.png,-10.00,-3.00,720.78,720.78)	pic(stim146.png,-10.00,-3.00,720.78,720.78)	pic(stim470.png,-10.00,-3.00,720.78,720.78)	pic(stim301.png,-10.00,-3.00,720.78,720.78)	pic(stim085.png,-10.00,-3.00,720.78,720.78)	pic(stim242.png,-10.00,-3.00,720.78,720.78)	pic(stim136.png,-10.00,-3.00,720.78,720.78)	pic(stim157.png,-10.00,-3.00,720.78,720.78)	pic(stim372.png,-10.00,-3.00,720.78,720.78)	pic(stim621.png,-10.00,-3.00,720.78,720.78)	pic(stim377.png,-10.00,-3.00,720.78,720.78)
17	1	1	stimulus_show20img	fix(0.00,0.00)	pic(stim008.png,-10.00,-3.00,720.78,720.78)	pic(stim114.png,-10.00,-3.00,720.78,720.78)	pic(stim482.png,-10.00,-3.00,720.78,720.78)	pic(stim477.png,-10.00,-3.00,720.78,720.78)	pic(stim571.png,-10.00,-3.00,720.78,720.78)	pic(stim588.png,-10.00,-3.00,720.78,720.78)	pic(stim152.png,-10.00,-3.00,720.78,720.78)	pic(stim012.png,-10.00,-3.00,720.78,720.78)	pic(stim029.png,-10.00,-3.00,720.78,720.78)	pic(stim154.png,-10.00,-3.00,720.78,720.78)	pic(stim255.png,-10.00,-3.00,720.78,720.78)	pic(stim303.png,-10.00,-3.00,720.78,720.78)	pic(stim386.png,-10.00,-3.00,720.78,720.78)	pic(stim212.png,-10.00,-3.00,720.78,720.78)	pic(stim617.png,-10.00,-3.00,720.78,720.78)	pic(stim631.png,-10.00,-3.00,720.78,720.78)	pic(stim410.png,-10.00,-3.00,720.78,720.78)	pic(stim510.png,-10.00,-3.00,720.78,720.78)	pic(stim279.png,-10.00,-3.00,720.78,720.78)	pic(stim475.png,-10.00,-3.00,720.78,720.78)
18	1	1	stimulus_show20img	fix(0.00,0.00)	pic(stim596.png,-10.00,-3.00,720.78,720.78)	pic(stim035.png,-10.00,-3.00,720.78,720.78)	pic(stim367.png,-10.00,-3.00,720.78,720.78)	pic(stim370.png,-10.00,-3.00,720.78,720.78)	pic(stim319.png,-10.00,-3.00,720.78,720.78)	pic(stim484.png,-10.00,-3.00,720.78,720.78)	pic(stim472.png,-10.00,-3.00,720.78,720.78)	pic(stim209.png,-10.00,-3.00,720.78,720.78)	pic(stim165.png,-10.00,-3.00,720.78,720.78)	pic(stim171.png,-10.00,-3.00,720.78,720.78)	pic(stim045.png,-10.00,-3.00,720.78,720.78)	pic(stim630.png,-10.00,-3.00,720.78,720.78)	pic(stim508.png,-10.00,-3.00,720.78,720.78)	pic(stim001.png,-10.00,-3.00,720.78,720.78)	pic(stim145.png,-10.00,-3.00,720.78,720.78)	pic(stim116.png,-10.00,-3.00,720.78,720.78)	pic(stim285.png,-10.00,-3.00,720.78,720.78)	pic(stim295.png,-10.00,-3.00,720.78,720.78)	pic(stim419.png,-10.00,-3.00,720.78,720.78)	pic(stim593.png,-10.00,-3.00,720.78,720.78)
19	1	1	stimulus_show20img	fix(0.00,0.00)	pic(stim575.png,-10.00,-3.00,720.78,720.78)	pic(stim598.png,-10.00,-3.00,720.78,720.78)	pic(stim049.png,-10.00,-3.00,720.78,720.78)	pic(stim417.png,-10.00,-3.00,720.78,720.78)	pic(stim280.png,-10.00,-3.00,720.78,720.78)	pic(stim329.png,-10.00,-3.00,720.78,720.78)	pic(stim103.png,-10.00,-3.00,720.78,720.78)	pic(stim226.png,-10.00,-3.00,720.78,720.78)	pic(stim597.png,-10.00,-3.00,720.78,720.78)	pic(stim200.png,-10.00,-3.00,720.78,720.78)	pic(stim469.png,-10.00,-3.00,720.78,720.78)	pic(stim013.png,-10.00,-3.00,720.78,720.78)	pic(stim493.png,-10.00,-3.00,720.78,720.78)	pic(stim556.png,-10.00,-3.00,720.78,720.78)	pic(stim064.png,-10.00,-3.00,720.78,720.78)	pic(stim488.png,-10.00,-3.00,720.78,720.78)	pic(stim387.png,-10.00,-3.00,720.78,720.78)	pic(stim108.png,-10.00,-3.00,720.78,720.78)	pic(stim407.png,-10.00,-3.00,720.78,720.78)	pic(stim566.png,-10.00,-3.00,720.78,720.78)
20	1	1	stimulus_show20img	fix(0.00,0.00)	pic(stim047.png,-10.00,-3.00,720.78,720.78)	pic(stim023.png,-10.00,-3.00,720.78,720.78)	pic(stim464.png,-10.00,-3.00,720.78,720.78)	pic(stim581.png,-10.00,-3.00,720.78,720.78)	pic(stim254.png,-10.00,-3.00,720.78,720.78)	pic(stim349.png,-10.00,-3.00,720.78,720.78)	pic(stim433.png,-10.00,-3.00,720.78,720.78)	pic(stim526.png,-10.00,-3.00,720.78,720.78)	pic(stim324.png,-10.00,-3.00,720.78,720.78)	pic(stim175.png,-10.00,-3.00,720.78,720.78)	pic(stim614.png,-10.00,-3.00,720.78,720.78)	pic(stim451.png,-10.00,-3.00,720.78,720.78)	pic(stim015.png,-10.00,-3.00,720.78,720.78)	pic(stim341.png,-10.00,-3.00,720.78,720.78)	pic(stim261.png,-10.00,-3.00,720.78,720.78)	pic(stim106.png,-10.00,-3.00,720.78,720.78)	pic(stim507.png,-10.00,-3.00,720.78,720.78)	pic(stim024.png,-10.00,-3.00,720.78,720.78)	pic(stim124.png,-10.00,-3.00,720.78,720.78)	pic(stim500.png,-10.00,-3.00,720.78,720.78)
