Condition	Frequency	Block	Timing File	TaskObject#1	TaskObject#2
1	1	1	stimulus_show1img	fix(0.00,0.00)	pic(cir0.png,-6.00,-3.00,216.23,216.23)
2	1	1	stimulus_show1img	fix(0.00,0.00)	pic(cir0.png,-6.00,-3.00,216.23,216.23)
3	1	1	stimulus_show1img	fix(0.00,0.00)	pic(rad0.png,-6.00,-3.00,216.23,216.23)
4	1	1	stimulus_show1img	fix(0.00,0.00)	pic(rad0.png,-6.00,-3.00,216.23,216.23)
					
					
					
					
					
					
