Condition	Frequency	Block	Timing File	TaskObject#1	TaskObject#2	TaskObject#3	TaskObject#4	TaskObject#5	TaskObject#6	TaskObject#7	TaskObject#8	TaskObject#9	TaskObject#10	TaskObject#11
44	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim431.png,0.00,0.00,288.31,288.31)	pic(stim432.png,0.00,0.00,288.31,288.31)	pic(stim433.png,0.00,0.00,288.31,288.31)	pic(stim434.png,0.00,0.00,288.31,288.31)	pic(stim435.png,0.00,0.00,288.31,288.31)	pic(stim436.png,0.00,0.00,288.31,288.31)	pic(stim437.png,0.00,0.00,288.31,288.31)	pic(stim438.png,0.00,0.00,288.31,288.31)	pic(stim439.png,0.00,0.00,288.31,288.31)	pic(stim440.png,0.00,0.00,288.31,288.31)
45	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim441.png,0.00,0.00,288.31,288.31)	pic(stim442.png,0.00,0.00,288.31,288.31)	pic(stim443.png,0.00,0.00,288.31,288.31)	pic(stim444.png,0.00,0.00,288.31,288.31)	pic(stim445.png,0.00,0.00,288.31,288.31)	pic(stim446.png,0.00,0.00,288.31,288.31)	pic(stim447.png,0.00,0.00,288.31,288.31)	pic(stim448.png,0.00,0.00,288.31,288.31)	pic(stim449.png,0.00,0.00,288.31,288.31)	pic(stim450.png,0.00,0.00,288.31,288.31)
46	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim451.png,0.00,0.00,288.31,288.31)	pic(stim452.png,0.00,0.00,288.31,288.31)	pic(stim453.png,0.00,0.00,288.31,288.31)	pic(stim454.png,0.00,0.00,288.31,288.31)	pic(stim455.png,0.00,0.00,288.31,288.31)	pic(stim456.png,0.00,0.00,288.31,288.31)	pic(stim457.png,0.00,0.00,288.31,288.31)	pic(stim458.png,0.00,0.00,288.31,288.31)	pic(stim459.png,0.00,0.00,288.31,288.31)	pic(stim460.png,0.00,0.00,288.31,288.31)
47	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim461.png,0.00,0.00,288.31,288.31)	pic(stim462.png,0.00,0.00,288.31,288.31)	pic(stim463.png,0.00,0.00,288.31,288.31)	pic(stim464.png,0.00,0.00,288.31,288.31)	pic(stim465.png,0.00,0.00,288.31,288.31)	pic(stim466.png,0.00,0.00,288.31,288.31)	pic(stim467.png,0.00,0.00,288.31,288.31)	pic(stim468.png,0.00,0.00,288.31,288.31)	pic(stim469.png,0.00,0.00,288.31,288.31)	pic(stim470.png,0.00,0.00,288.31,288.31)
48	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim471.png,0.00,0.00,288.31,288.31)	pic(stim472.png,0.00,0.00,288.31,288.31)	pic(stim473.png,0.00,0.00,288.31,288.31)	pic(stim474.png,0.00,0.00,288.31,288.31)	pic(stim475.png,0.00,0.00,288.31,288.31)	pic(stim476.png,0.00,0.00,288.31,288.31)	pic(stim477.png,0.00,0.00,288.31,288.31)	pic(stim478.png,0.00,0.00,288.31,288.31)	pic(stim479.png,0.00,0.00,288.31,288.31)	pic(stim480.png,0.00,0.00,288.31,288.31)
49	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim481.png,0.00,0.00,288.31,288.31)	pic(stim482.png,0.00,0.00,288.31,288.31)	pic(stim483.png,0.00,0.00,288.31,288.31)	pic(stim484.png,0.00,0.00,288.31,288.31)	pic(stim485.png,0.00,0.00,288.31,288.31)	pic(stim486.png,0.00,0.00,288.31,288.31)	pic(stim487.png,0.00,0.00,288.31,288.31)	pic(stim488.png,0.00,0.00,288.31,288.31)	pic(stim489.png,0.00,0.00,288.31,288.31)	pic(stim490.png,0.00,0.00,288.31,288.31)
50	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim491.png,0.00,0.00,288.31,288.31)	pic(stim492.png,0.00,0.00,288.31,288.31)	pic(stim493.png,0.00,0.00,288.31,288.31)	pic(stim494.png,0.00,0.00,288.31,288.31)	pic(stim495.png,0.00,0.00,288.31,288.31)	pic(stim496.png,0.00,0.00,288.31,288.31)	pic(stim497.png,0.00,0.00,288.31,288.31)	pic(stim498.png,0.00,0.00,288.31,288.31)	pic(stim499.png,0.00,0.00,288.31,288.31)	pic(stim500.png,0.00,0.00,288.31,288.31)
51	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim501.png,0.00,0.00,288.31,288.31)	pic(stim502.png,0.00,0.00,288.31,288.31)	pic(stim503.png,0.00,0.00,288.31,288.31)	pic(stim504.png,0.00,0.00,288.31,288.31)	pic(stim505.png,0.00,0.00,288.31,288.31)	pic(stim506.png,0.00,0.00,288.31,288.31)	pic(stim507.png,0.00,0.00,288.31,288.31)	pic(stim508.png,0.00,0.00,288.31,288.31)	pic(stim509.png,0.00,0.00,288.31,288.31)	pic(stim510.png,0.00,0.00,288.31,288.31)
52	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim511.png,0.00,0.00,288.31,288.31)	pic(stim512.png,0.00,0.00,288.31,288.31)	pic(stim513.png,0.00,0.00,288.31,288.31)	pic(stim514.png,0.00,0.00,288.31,288.31)	pic(stim515.png,0.00,0.00,288.31,288.31)	pic(stim516.png,0.00,0.00,288.31,288.31)	pic(stim517.png,0.00,0.00,288.31,288.31)	pic(stim518.png,0.00,0.00,288.31,288.31)	pic(stim519.png,0.00,0.00,288.31,288.31)	pic(stim520.png,0.00,0.00,288.31,288.31)
53	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim521.png,0.00,0.00,288.31,288.31)	pic(stim522.png,0.00,0.00,288.31,288.31)	pic(stim523.png,0.00,0.00,288.31,288.31)	pic(stim524.png,0.00,0.00,288.31,288.31)	pic(stim525.png,0.00,0.00,288.31,288.31)	pic(stim526.png,0.00,0.00,288.31,288.31)	pic(stim527.png,0.00,0.00,288.31,288.31)	pic(stim528.png,0.00,0.00,288.31,288.31)	pic(stim529.png,0.00,0.00,288.31,288.31)	pic(stim530.png,0.00,0.00,288.31,288.31)
54	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim531.png,0.00,0.00,288.31,288.31)	pic(stim532.png,0.00,0.00,288.31,288.31)	pic(stim533.png,0.00,0.00,288.31,288.31)	pic(stim534.png,0.00,0.00,288.31,288.31)	pic(stim535.png,0.00,0.00,288.31,288.31)	pic(stim536.png,0.00,0.00,288.31,288.31)	pic(stim537.png,0.00,0.00,288.31,288.31)	pic(stim538.png,0.00,0.00,288.31,288.31)	pic(stim539.png,0.00,0.00,288.31,288.31)	pic(stim540.png,0.00,0.00,288.31,288.31)
55	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim541.png,0.00,0.00,288.31,288.31)	pic(stim542.png,0.00,0.00,288.31,288.31)	pic(stim543.png,0.00,0.00,288.31,288.31)	pic(stim544.png,0.00,0.00,288.31,288.31)	pic(stim545.png,0.00,0.00,288.31,288.31)	pic(stim546.png,0.00,0.00,288.31,288.31)	pic(stim547.png,0.00,0.00,288.31,288.31)	pic(stim548.png,0.00,0.00,288.31,288.31)	pic(stim549.png,0.00,0.00,288.31,288.31)	pic(stim550.png,0.00,0.00,288.31,288.31)
56	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim551.png,0.00,0.00,288.31,288.31)	pic(stim552.png,0.00,0.00,288.31,288.31)	pic(stim553.png,0.00,0.00,288.31,288.31)	pic(stim554.png,0.00,0.00,288.31,288.31)	pic(stim555.png,0.00,0.00,288.31,288.31)	pic(stim556.png,0.00,0.00,288.31,288.31)	pic(stim557.png,0.00,0.00,288.31,288.31)	pic(stim558.png,0.00,0.00,288.31,288.31)	pic(stim559.png,0.00,0.00,288.31,288.31)	pic(stim560.png,0.00,0.00,288.31,288.31)
57	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim561.png,0.00,0.00,288.31,288.31)	pic(stim562.png,0.00,0.00,288.31,288.31)	pic(stim563.png,0.00,0.00,288.31,288.31)	pic(stim564.png,0.00,0.00,288.31,288.31)	pic(stim565.png,0.00,0.00,288.31,288.31)	pic(stim566.png,0.00,0.00,288.31,288.31)	pic(stim567.png,0.00,0.00,288.31,288.31)	pic(stim568.png,0.00,0.00,288.31,288.31)	pic(stim569.png,0.00,0.00,288.31,288.31)	pic(stim570.png,0.00,0.00,288.31,288.31)
58	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim571.png,0.00,0.00,288.31,288.31)	pic(stim572.png,0.00,0.00,288.31,288.31)	pic(stim573.png,0.00,0.00,288.31,288.31)	pic(stim574.png,0.00,0.00,288.31,288.31)	pic(stim575.png,0.00,0.00,288.31,288.31)	pic(stim576.png,0.00,0.00,288.31,288.31)	pic(stim577.png,0.00,0.00,288.31,288.31)	pic(stim578.png,0.00,0.00,288.31,288.31)	pic(stim579.png,0.00,0.00,288.31,288.31)	pic(stim580.png,0.00,0.00,288.31,288.31)
59	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim581.png,0.00,0.00,288.31,288.31)	pic(stim582.png,0.00,0.00,288.31,288.31)	pic(stim583.png,0.00,0.00,288.31,288.31)	pic(stim584.png,0.00,0.00,288.31,288.31)	pic(stim585.png,0.00,0.00,288.31,288.31)	pic(stim586.png,0.00,0.00,288.31,288.31)	pic(stim587.png,0.00,0.00,288.31,288.31)	pic(stim588.png,0.00,0.00,288.31,288.31)	pic(stim589.png,0.00,0.00,288.31,288.31)	pic(stim590.png,0.00,0.00,288.31,288.31)
60	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim591.png,0.00,0.00,288.31,288.31)	pic(stim592.png,0.00,0.00,288.31,288.31)	pic(stim593.png,0.00,0.00,288.31,288.31)	pic(stim594.png,0.00,0.00,288.31,288.31)	pic(stim595.png,0.00,0.00,288.31,288.31)	pic(stim596.png,0.00,0.00,288.31,288.31)	pic(stim597.png,0.00,0.00,288.31,288.31)	pic(stim598.png,0.00,0.00,288.31,288.31)	pic(stim599.png,0.00,0.00,288.31,288.31)	pic(stim600.png,0.00,0.00,288.31,288.31)
61	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim601.png,0.00,0.00,288.31,288.31)	pic(stim602.png,0.00,0.00,288.31,288.31)	pic(stim603.png,0.00,0.00,288.31,288.31)	pic(stim604.png,0.00,0.00,288.31,288.31)	pic(stim605.png,0.00,0.00,288.31,288.31)	pic(stim606.png,0.00,0.00,288.31,288.31)	pic(stim607.png,0.00,0.00,288.31,288.31)	pic(stim608.png,0.00,0.00,288.31,288.31)	pic(stim609.png,0.00,0.00,288.31,288.31)	pic(stim610.png,0.00,0.00,288.31,288.31)
62	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim611.png,0.00,0.00,288.31,288.31)	pic(stim612.png,0.00,0.00,288.31,288.31)	pic(stim613.png,0.00,0.00,288.31,288.31)	pic(stim614.png,0.00,0.00,288.31,288.31)	pic(stim615.png,0.00,0.00,288.31,288.31)	pic(stim616.png,0.00,0.00,288.31,288.31)	pic(stim617.png,0.00,0.00,288.31,288.31)	pic(stim618.png,0.00,0.00,288.31,288.31)	pic(stim619.png,0.00,0.00,288.31,288.31)	pic(stim620.png,0.00,0.00,288.31,288.31)
63	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim621.png,0.00,0.00,288.31,288.31)	pic(stim622.png,0.00,0.00,288.31,288.31)	pic(stim623.png,0.00,0.00,288.31,288.31)	pic(stim624.png,0.00,0.00,288.31,288.31)	pic(stim625.png,0.00,0.00,288.31,288.31)	pic(stim626.png,0.00,0.00,288.31,288.31)	pic(stim627.png,0.00,0.00,288.31,288.31)	pic(stim628.png,0.00,0.00,288.31,288.31)	pic(stim629.png,0.00,0.00,288.31,288.31)	pic(stim630.png,0.00,0.00,288.31,288.31)
64	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim631.png,0.00,0.00,288.31,288.31)	pic(stim632.png,0.00,0.00,288.31,288.31)	pic(stim633.png,0.00,0.00,288.31,288.31)	pic(stim634.png,0.00,0.00,288.31,288.31)	pic(stim635.png,0.00,0.00,288.31,288.31)	pic(stim636.png,0.00,0.00,288.31,288.31)	pic(stim637.png,0.00,0.00,288.31,288.31)	pic(stim638.png,0.00,0.00,288.31,288.31)	pic(stim639.png,0.00,0.00,288.31,288.31)	pic(stim640.png,0.00,0.00,288.31,288.31)
