Condition	Frequency	Block	Timing File	TaskObject#1	TaskObject#2	TaskObject#3	TaskObject#4	TaskObject#5	TaskObject#6	TaskObject#7	TaskObject#8	TaskObject#9	TaskObject#10	TaskObject#11
11	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim101.png,0.00,0.00,288.31,288.31)	pic(stim102.png,0.00,0.00,288.31,288.31)	pic(stim103.png,0.00,0.00,288.31,288.31)	pic(stim104.png,0.00,0.00,288.31,288.31)	pic(stim105.png,0.00,0.00,288.31,288.31)	pic(stim106.png,0.00,0.00,288.31,288.31)	pic(stim107.png,0.00,0.00,288.31,288.31)	pic(stim108.png,0.00,0.00,288.31,288.31)	pic(stim109.png,0.00,0.00,288.31,288.31)	pic(stim110.png,0.00,0.00,288.31,288.31)
12	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim111.png,0.00,0.00,288.31,288.31)	pic(stim112.png,0.00,0.00,288.31,288.31)	pic(stim113.png,0.00,0.00,288.31,288.31)	pic(stim114.png,0.00,0.00,288.31,288.31)	pic(stim115.png,0.00,0.00,288.31,288.31)	pic(stim116.png,0.00,0.00,288.31,288.31)	pic(stim117.png,0.00,0.00,288.31,288.31)	pic(stim118.png,0.00,0.00,288.31,288.31)	pic(stim119.png,0.00,0.00,288.31,288.31)	pic(stim120.png,0.00,0.00,288.31,288.31)
13	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim121.png,0.00,0.00,288.31,288.31)	pic(stim122.png,0.00,0.00,288.31,288.31)	pic(stim123.png,0.00,0.00,288.31,288.31)	pic(stim124.png,0.00,0.00,288.31,288.31)	pic(stim125.png,0.00,0.00,288.31,288.31)	pic(stim126.png,0.00,0.00,288.31,288.31)	pic(stim127.png,0.00,0.00,288.31,288.31)	pic(stim128.png,0.00,0.00,288.31,288.31)	pic(stim129.png,0.00,0.00,288.31,288.31)	pic(stim130.png,0.00,0.00,288.31,288.31)
14	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim131.png,0.00,0.00,288.31,288.31)	pic(stim132.png,0.00,0.00,288.31,288.31)	pic(stim133.png,0.00,0.00,288.31,288.31)	pic(stim134.png,0.00,0.00,288.31,288.31)	pic(stim135.png,0.00,0.00,288.31,288.31)	pic(stim136.png,0.00,0.00,288.31,288.31)	pic(stim137.png,0.00,0.00,288.31,288.31)	pic(stim138.png,0.00,0.00,288.31,288.31)	pic(stim139.png,0.00,0.00,288.31,288.31)	pic(stim140.png,0.00,0.00,288.31,288.31)
15	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim141.png,0.00,0.00,288.31,288.31)	pic(stim142.png,0.00,0.00,288.31,288.31)	pic(stim143.png,0.00,0.00,288.31,288.31)	pic(stim144.png,0.00,0.00,288.31,288.31)	pic(stim145.png,0.00,0.00,288.31,288.31)	pic(stim146.png,0.00,0.00,288.31,288.31)	pic(stim147.png,0.00,0.00,288.31,288.31)	pic(stim148.png,0.00,0.00,288.31,288.31)	pic(stim149.png,0.00,0.00,288.31,288.31)	pic(stim150.png,0.00,0.00,288.31,288.31)
16	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim151.png,0.00,0.00,288.31,288.31)	pic(stim152.png,0.00,0.00,288.31,288.31)	pic(stim153.png,0.00,0.00,288.31,288.31)	pic(stim154.png,0.00,0.00,288.31,288.31)	pic(stim155.png,0.00,0.00,288.31,288.31)	pic(stim156.png,0.00,0.00,288.31,288.31)	pic(stim157.png,0.00,0.00,288.31,288.31)	pic(stim158.png,0.00,0.00,288.31,288.31)	pic(stim159.png,0.00,0.00,288.31,288.31)	pic(stim160.png,0.00,0.00,288.31,288.31)
17	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim161.png,0.00,0.00,288.31,288.31)	pic(stim162.png,0.00,0.00,288.31,288.31)	pic(stim163.png,0.00,0.00,288.31,288.31)	pic(stim164.png,0.00,0.00,288.31,288.31)	pic(stim165.png,0.00,0.00,288.31,288.31)	pic(stim166.png,0.00,0.00,288.31,288.31)	pic(stim167.png,0.00,0.00,288.31,288.31)	pic(stim168.png,0.00,0.00,288.31,288.31)	pic(stim169.png,0.00,0.00,288.31,288.31)	pic(stim170.png,0.00,0.00,288.31,288.31)
18	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim171.png,0.00,0.00,288.31,288.31)	pic(stim172.png,0.00,0.00,288.31,288.31)	pic(stim173.png,0.00,0.00,288.31,288.31)	pic(stim174.png,0.00,0.00,288.31,288.31)	pic(stim175.png,0.00,0.00,288.31,288.31)	pic(stim176.png,0.00,0.00,288.31,288.31)	pic(stim177.png,0.00,0.00,288.31,288.31)	pic(stim178.png,0.00,0.00,288.31,288.31)	pic(stim179.png,0.00,0.00,288.31,288.31)	pic(stim180.png,0.00,0.00,288.31,288.31)
19	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim181.png,0.00,0.00,288.31,288.31)	pic(stim182.png,0.00,0.00,288.31,288.31)	pic(stim183.png,0.00,0.00,288.31,288.31)	pic(stim184.png,0.00,0.00,288.31,288.31)	pic(stim185.png,0.00,0.00,288.31,288.31)	pic(stim186.png,0.00,0.00,288.31,288.31)	pic(stim187.png,0.00,0.00,288.31,288.31)	pic(stim188.png,0.00,0.00,288.31,288.31)	pic(stim189.png,0.00,0.00,288.31,288.31)	pic(stim190.png,0.00,0.00,288.31,288.31)
20	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim191.png,0.00,0.00,288.31,288.31)	pic(stim192.png,0.00,0.00,288.31,288.31)	pic(stim193.png,0.00,0.00,288.31,288.31)	pic(stim194.png,0.00,0.00,288.31,288.31)	pic(stim195.png,0.00,0.00,288.31,288.31)	pic(stim196.png,0.00,0.00,288.31,288.31)	pic(stim197.png,0.00,0.00,288.31,288.31)	pic(stim198.png,0.00,0.00,288.31,288.31)	pic(stim199.png,0.00,0.00,288.31,288.31)	pic(stim200.png,0.00,0.00,288.31,288.31)
