Condition	Frequency	Block	Timing File	TaskObject#1	TaskObject#2
253	1	62	stimulus_show1img	fix(0.00,0.00)	pic(stim253.png,-2.00,-2.00,576.62,576.62)
254	1	63	stimulus_show1img	fix(0.00,0.00)	pic(stim254.png,-2.00,-2.00,576.62,576.62)
255	1	64	stimulus_show1img	fix(0.00,0.00)	pic(stim255.png,-2.00,-2.00,576.62,576.62)
256	1	1	stimulus_show1img	fix(0.00,0.00)	pic(stim256.png,-2.00,-2.00,576.62,576.62)
257	1	2	stimulus_show1img	fix(0.00,0.00)	pic(stim257.png,-2.00,-2.00,576.62,576.62)
258	1	3	stimulus_show1img	fix(0.00,0.00)	pic(stim258.png,-2.00,-2.00,576.62,576.62)
259	1	4	stimulus_show1img	fix(0.00,0.00)	pic(stim259.png,-2.00,-2.00,576.62,576.62)
260	1	5	stimulus_show1img	fix(0.00,0.00)	pic(stim260.png,-2.00,-2.00,576.62,576.62)
261	1	6	stimulus_show1img	fix(0.00,0.00)	pic(stim261.png,-2.00,-2.00,576.62,576.62)
262	1	7	stimulus_show1img	fix(0.00,0.00)	pic(stim262.png,-2.00,-2.00,576.62,576.62)
263	1	8	stimulus_show1img	fix(0.00,0.00)	pic(stim263.png,-2.00,-2.00,576.62,576.62)
264	1	9	stimulus_show1img	fix(0.00,0.00)	pic(stim264.png,-2.00,-2.00,576.62,576.62)
265	1	10	stimulus_show1img	fix(0.00,0.00)	pic(stim265.png,-2.00,-2.00,576.62,576.62)
266	1	11	stimulus_show1img	fix(0.00,0.00)	pic(stim266.png,-2.00,-2.00,576.62,576.62)
267	1	12	stimulus_show1img	fix(0.00,0.00)	pic(stim267.png,-2.00,-2.00,576.62,576.62)
268	1	13	stimulus_show1img	fix(0.00,0.00)	pic(stim268.png,-2.00,-2.00,576.62,576.62)
269	1	14	stimulus_show1img	fix(0.00,0.00)	pic(stim269.png,-2.00,-2.00,576.62,576.62)
270	1	15	stimulus_show1img	fix(0.00,0.00)	pic(stim270.png,-2.00,-2.00,576.62,576.62)
271	1	16	stimulus_show1img	fix(0.00,0.00)	pic(stim271.png,-2.00,-2.00,576.62,576.62)
272	1	17	stimulus_show1img	fix(0.00,0.00)	pic(stim272.png,-2.00,-2.00,576.62,576.62)
273	1	18	stimulus_show1img	fix(0.00,0.00)	pic(stim273.png,-2.00,-2.00,576.62,576.62)
274	1	19	stimulus_show1img	fix(0.00,0.00)	pic(stim274.png,-2.00,-2.00,576.62,576.62)
275	1	20	stimulus_show1img	fix(0.00,0.00)	pic(stim275.png,-2.00,-2.00,576.62,576.62)
276	1	21	stimulus_show1img	fix(0.00,0.00)	pic(stim276.png,-2.00,-2.00,576.62,576.62)
277	1	22	stimulus_show1img	fix(0.00,0.00)	pic(stim277.png,-2.00,-2.00,576.62,576.62)
278	1	23	stimulus_show1img	fix(0.00,0.00)	pic(stim278.png,-2.00,-2.00,576.62,576.62)
279	1	24	stimulus_show1img	fix(0.00,0.00)	pic(stim279.png,-2.00,-2.00,576.62,576.62)
280	1	25	stimulus_show1img	fix(0.00,0.00)	pic(stim280.png,-2.00,-2.00,576.62,576.62)
281	1	26	stimulus_show1img	fix(0.00,0.00)	pic(stim281.png,-2.00,-2.00,576.62,576.62)
282	1	27	stimulus_show1img	fix(0.00,0.00)	pic(stim282.png,-2.00,-2.00,576.62,576.62)
283	1	28	stimulus_show1img	fix(0.00,0.00)	pic(stim283.png,-2.00,-2.00,576.62,576.62)
284	1	29	stimulus_show1img	fix(0.00,0.00)	pic(stim284.png,-2.00,-2.00,576.62,576.62)
285	1	30	stimulus_show1img	fix(0.00,0.00)	pic(stim285.png,-2.00,-2.00,576.62,576.62)
286	1	31	stimulus_show1img	fix(0.00,0.00)	pic(stim286.png,-2.00,-2.00,576.62,576.62)
287	1	32	stimulus_show1img	fix(0.00,0.00)	pic(stim287.png,-2.00,-2.00,576.62,576.62)
288	1	33	stimulus_show1img	fix(0.00,0.00)	pic(stim288.png,-2.00,-2.00,576.62,576.62)
289	1	34	stimulus_show1img	fix(0.00,0.00)	pic(stim289.png,-2.00,-2.00,576.62,576.62)
290	1	35	stimulus_show1img	fix(0.00,0.00)	pic(stim290.png,-2.00,-2.00,576.62,576.62)
291	1	36	stimulus_show1img	fix(0.00,0.00)	pic(stim291.png,-2.00,-2.00,576.62,576.62)
292	1	37	stimulus_show1img	fix(0.00,0.00)	pic(stim292.png,-2.00,-2.00,576.62,576.62)
293	1	38	stimulus_show1img	fix(0.00,0.00)	pic(stim293.png,-2.00,-2.00,576.62,576.62)
294	1	39	stimulus_show1img	fix(0.00,0.00)	pic(stim294.png,-2.00,-2.00,576.62,576.62)
295	1	40	stimulus_show1img	fix(0.00,0.00)	pic(stim295.png,-2.00,-2.00,576.62,576.62)
296	1	41	stimulus_show1img	fix(0.00,0.00)	pic(stim296.png,-2.00,-2.00,576.62,576.62)
297	1	42	stimulus_show1img	fix(0.00,0.00)	pic(stim297.png,-2.00,-2.00,576.62,576.62)
298	1	43	stimulus_show1img	fix(0.00,0.00)	pic(stim298.png,-2.00,-2.00,576.62,576.62)
299	1	44	stimulus_show1img	fix(0.00,0.00)	pic(stim299.png,-2.00,-2.00,576.62,576.62)
300	1	45	stimulus_show1img	fix(0.00,0.00)	pic(stim300.png,-2.00,-2.00,576.62,576.62)
301	1	46	stimulus_show1img	fix(0.00,0.00)	pic(stim301.png,-2.00,-2.00,576.62,576.62)
302	1	47	stimulus_show1img	fix(0.00,0.00)	pic(stim302.png,-2.00,-2.00,576.62,576.62)
303	1	48	stimulus_show1img	fix(0.00,0.00)	pic(stim303.png,-2.00,-2.00,576.62,576.62)
304	1	49	stimulus_show1img	fix(0.00,0.00)	pic(stim304.png,-2.00,-2.00,576.62,576.62)
305	1	50	stimulus_show1img	fix(0.00,0.00)	pic(stim305.png,-2.00,-2.00,576.62,576.62)
306	1	51	stimulus_show1img	fix(0.00,0.00)	pic(stim306.png,-2.00,-2.00,576.62,576.62)
307	1	52	stimulus_show1img	fix(0.00,0.00)	pic(stim307.png,-2.00,-2.00,576.62,576.62)
308	1	53	stimulus_show1img	fix(0.00,0.00)	pic(stim308.png,-2.00,-2.00,576.62,576.62)
309	1	54	stimulus_show1img	fix(0.00,0.00)	pic(stim309.png,-2.00,-2.00,576.62,576.62)
310	1	55	stimulus_show1img	fix(0.00,0.00)	pic(stim310.png,-2.00,-2.00,576.62,576.62)
311	1	56	stimulus_show1img	fix(0.00,0.00)	pic(stim311.png,-2.00,-2.00,576.62,576.62)
312	1	57	stimulus_show1img	fix(0.00,0.00)	pic(stim312.png,-2.00,-2.00,576.62,576.62)
313	1	58	stimulus_show1img	fix(0.00,0.00)	pic(stim313.png,-2.00,-2.00,576.62,576.62)
314	1	59	stimulus_show1img	fix(0.00,0.00)	pic(stim314.png,-2.00,-2.00,576.62,576.62)
315	1	60	stimulus_show1img	fix(0.00,0.00)	pic(stim315.png,-2.00,-2.00,576.62,576.62)
316	1	61	stimulus_show1img	fix(0.00,0.00)	pic(stim316.png,-2.00,-2.00,576.62,576.62)
317	1	62	stimulus_show1img	fix(0.00,0.00)	pic(stim317.png,-2.00,-2.00,576.62,576.62)
318	1	63	stimulus_show1img	fix(0.00,0.00)	pic(stim318.png,-2.00,-2.00,576.62,576.62)
319	1	64	stimulus_show1img	fix(0.00,0.00)	pic(stim319.png,-2.00,-2.00,576.62,576.62)
320	1	1	stimulus_show1img	fix(0.00,0.00)	pic(stim320.png,-2.00,-2.00,576.62,576.62)
321	1	2	stimulus_show1img	fix(0.00,0.00)	pic(stim321.png,-2.00,-2.00,576.62,576.62)
322	1	3	stimulus_show1img	fix(0.00,0.00)	pic(stim322.png,-2.00,-2.00,576.62,576.62)
323	1	4	stimulus_show1img	fix(0.00,0.00)	pic(stim323.png,-2.00,-2.00,576.62,576.62)
324	1	5	stimulus_show1img	fix(0.00,0.00)	pic(stim324.png,-2.00,-2.00,576.62,576.62)
325	1	6	stimulus_show1img	fix(0.00,0.00)	pic(stim325.png,-2.00,-2.00,576.62,576.62)
326	1	7	stimulus_show1img	fix(0.00,0.00)	pic(stim326.png,-2.00,-2.00,576.62,576.62)
327	1	8	stimulus_show1img	fix(0.00,0.00)	pic(stim327.png,-2.00,-2.00,576.62,576.62)
328	1	9	stimulus_show1img	fix(0.00,0.00)	pic(stim328.png,-2.00,-2.00,576.62,576.62)
329	1	10	stimulus_show1img	fix(0.00,0.00)	pic(stim329.png,-2.00,-2.00,576.62,576.62)
330	1	11	stimulus_show1img	fix(0.00,0.00)	pic(stim330.png,-2.00,-2.00,576.62,576.62)
331	1	12	stimulus_show1img	fix(0.00,0.00)	pic(stim331.png,-2.00,-2.00,576.62,576.62)
332	1	13	stimulus_show1img	fix(0.00,0.00)	pic(stim332.png,-2.00,-2.00,576.62,576.62)
333	1	14	stimulus_show1img	fix(0.00,0.00)	pic(stim333.png,-2.00,-2.00,576.62,576.62)
334	1	15	stimulus_show1img	fix(0.00,0.00)	pic(stim334.png,-2.00,-2.00,576.62,576.62)
335	1	16	stimulus_show1img	fix(0.00,0.00)	pic(stim335.png,-2.00,-2.00,576.62,576.62)
336	1	17	stimulus_show1img	fix(0.00,0.00)	pic(stim336.png,-2.00,-2.00,576.62,576.62)
337	1	18	stimulus_show1img	fix(0.00,0.00)	pic(stim337.png,-2.00,-2.00,576.62,576.62)
338	1	19	stimulus_show1img	fix(0.00,0.00)	pic(stim338.png,-2.00,-2.00,576.62,576.62)
339	1	20	stimulus_show1img	fix(0.00,0.00)	pic(stim339.png,-2.00,-2.00,576.62,576.62)
340	1	21	stimulus_show1img	fix(0.00,0.00)	pic(stim340.png,-2.00,-2.00,576.62,576.62)
341	1	22	stimulus_show1img	fix(0.00,0.00)	pic(stim341.png,-2.00,-2.00,576.62,576.62)
342	1	23	stimulus_show1img	fix(0.00,0.00)	pic(stim342.png,-2.00,-2.00,576.62,576.62)
343	1	24	stimulus_show1img	fix(0.00,0.00)	pic(stim343.png,-2.00,-2.00,576.62,576.62)
344	1	25	stimulus_show1img	fix(0.00,0.00)	pic(stim344.png,-2.00,-2.00,576.62,576.62)
345	1	26	stimulus_show1img	fix(0.00,0.00)	pic(stim345.png,-2.00,-2.00,576.62,576.62)
346	1	27	stimulus_show1img	fix(0.00,0.00)	pic(stim346.png,-2.00,-2.00,576.62,576.62)
347	1	28	stimulus_show1img	fix(0.00,0.00)	pic(stim347.png,-2.00,-2.00,576.62,576.62)
348	1	29	stimulus_show1img	fix(0.00,0.00)	pic(stim348.png,-2.00,-2.00,576.62,576.62)
349	1	30	stimulus_show1img	fix(0.00,0.00)	pic(stim349.png,-2.00,-2.00,576.62,576.62)
350	1	31	stimulus_show1img	fix(0.00,0.00)	pic(stim350.png,-2.00,-2.00,576.62,576.62)
351	1	32	stimulus_show1img	fix(0.00,0.00)	pic(stim351.png,-2.00,-2.00,576.62,576.62)
352	1	33	stimulus_show1img	fix(0.00,0.00)	pic(stim352.png,-2.00,-2.00,576.62,576.62)
353	1	34	stimulus_show1img	fix(0.00,0.00)	pic(stim353.png,-2.00,-2.00,576.62,576.62)
354	1	35	stimulus_show1img	fix(0.00,0.00)	pic(stim354.png,-2.00,-2.00,576.62,576.62)
355	1	36	stimulus_show1img	fix(0.00,0.00)	pic(stim355.png,-2.00,-2.00,576.62,576.62)
356	1	37	stimulus_show1img	fix(0.00,0.00)	pic(stim356.png,-2.00,-2.00,576.62,576.62)
357	1	38	stimulus_show1img	fix(0.00,0.00)	pic(stim357.png,-2.00,-2.00,576.62,576.62)
358	1	39	stimulus_show1img	fix(0.00,0.00)	pic(stim358.png,-2.00,-2.00,576.62,576.62)
359	1	40	stimulus_show1img	fix(0.00,0.00)	pic(stim359.png,-2.00,-2.00,576.62,576.62)
360	1	41	stimulus_show1img	fix(0.00,0.00)	pic(stim360.png,-2.00,-2.00,576.62,576.62)
361	1	42	stimulus_show1img	fix(0.00,0.00)	pic(stim361.png,-2.00,-2.00,576.62,576.62)
362	1	43	stimulus_show1img	fix(0.00,0.00)	pic(stim362.png,-2.00,-2.00,576.62,576.62)
363	1	44	stimulus_show1img	fix(0.00,0.00)	pic(stim363.png,-2.00,-2.00,576.62,576.62)
364	1	45	stimulus_show1img	fix(0.00,0.00)	pic(stim364.png,-2.00,-2.00,576.62,576.62)
365	1	46	stimulus_show1img	fix(0.00,0.00)	pic(stim365.png,-2.00,-2.00,576.62,576.62)
366	1	47	stimulus_show1img	fix(0.00,0.00)	pic(stim366.png,-2.00,-2.00,576.62,576.62)
367	1	48	stimulus_show1img	fix(0.00,0.00)	pic(stim367.png,-2.00,-2.00,576.62,576.62)
368	1	49	stimulus_show1img	fix(0.00,0.00)	pic(stim368.png,-2.00,-2.00,576.62,576.62)
369	1	50	stimulus_show1img	fix(0.00,0.00)	pic(stim369.png,-2.00,-2.00,576.62,576.62)
370	1	51	stimulus_show1img	fix(0.00,0.00)	pic(stim370.png,-2.00,-2.00,576.62,576.62)
371	1	52	stimulus_show1img	fix(0.00,0.00)	pic(stim371.png,-2.00,-2.00,576.62,576.62)
372	1	53	stimulus_show1img	fix(0.00,0.00)	pic(stim372.png,-2.00,-2.00,576.62,576.62)
373	1	54	stimulus_show1img	fix(0.00,0.00)	pic(stim373.png,-2.00,-2.00,576.62,576.62)
374	1	55	stimulus_show1img	fix(0.00,0.00)	pic(stim374.png,-2.00,-2.00,576.62,576.62)
375	1	56	stimulus_show1img	fix(0.00,0.00)	pic(stim375.png,-2.00,-2.00,576.62,576.62)
376	1	57	stimulus_show1img	fix(0.00,0.00)	pic(stim376.png,-2.00,-2.00,576.62,576.62)
377	1	58	stimulus_show1img	fix(0.00,0.00)	pic(stim377.png,-2.00,-2.00,576.62,576.62)
378	1	59	stimulus_show1img	fix(0.00,0.00)	pic(stim378.png,-2.00,-2.00,576.62,576.62)
379	1	60	stimulus_show1img	fix(0.00,0.00)	pic(stim379.png,-2.00,-2.00,576.62,576.62)
380	1	61	stimulus_show1img	fix(0.00,0.00)	pic(stim380.png,-2.00,-2.00,576.62,576.62)
381	1	62	stimulus_show1img	fix(0.00,0.00)	pic(stim381.png,-2.00,-2.00,576.62,576.62)
382	1	63	stimulus_show1img	fix(0.00,0.00)	pic(stim382.png,-2.00,-2.00,576.62,576.62)
383	1	64	stimulus_show1img	fix(0.00,0.00)	pic(stim383.png,-2.00,-2.00,576.62,576.62)
384	1	1	stimulus_show1img	fix(0.00,0.00)	pic(stim384.png,-2.00,-2.00,576.62,576.62)
385	1	2	stimulus_show1img	fix(0.00,0.00)	pic(stim385.png,-2.00,-2.00,576.62,576.62)
386	1	3	stimulus_show1img	fix(0.00,0.00)	pic(stim386.png,-2.00,-2.00,576.62,576.62)
387	1	4	stimulus_show1img	fix(0.00,0.00)	pic(stim387.png,-2.00,-2.00,576.62,576.62)
388	1	5	stimulus_show1img	fix(0.00,0.00)	pic(stim388.png,-2.00,-2.00,576.62,576.62)
389	1	6	stimulus_show1img	fix(0.00,0.00)	pic(stim389.png,-2.00,-2.00,576.62,576.62)
390	1	7	stimulus_show1img	fix(0.00,0.00)	pic(stim390.png,-2.00,-2.00,576.62,576.62)
391	1	8	stimulus_show1img	fix(0.00,0.00)	pic(stim391.png,-2.00,-2.00,576.62,576.62)
392	1	9	stimulus_show1img	fix(0.00,0.00)	pic(stim392.png,-2.00,-2.00,576.62,576.62)
393	1	10	stimulus_show1img	fix(0.00,0.00)	pic(stim393.png,-2.00,-2.00,576.62,576.62)
394	1	11	stimulus_show1img	fix(0.00,0.00)	pic(stim394.png,-2.00,-2.00,576.62,576.62)
395	1	12	stimulus_show1img	fix(0.00,0.00)	pic(stim395.png,-2.00,-2.00,576.62,576.62)
396	1	13	stimulus_show1img	fix(0.00,0.00)	pic(stim396.png,-2.00,-2.00,576.62,576.62)
397	1	14	stimulus_show1img	fix(0.00,0.00)	pic(stim397.png,-2.00,-2.00,576.62,576.62)
398	1	15	stimulus_show1img	fix(0.00,0.00)	pic(stim398.png,-2.00,-2.00,576.62,576.62)
399	1	16	stimulus_show1img	fix(0.00,0.00)	pic(stim399.png,-2.00,-2.00,576.62,576.62)
400	1	17	stimulus_show1img	fix(0.00,0.00)	pic(stim400.png,-2.00,-2.00,576.62,576.62)
401	1	18	stimulus_show1img	fix(0.00,0.00)	pic(stim401.png,-2.00,-2.00,576.62,576.62)
402	1	19	stimulus_show1img	fix(0.00,0.00)	pic(stim402.png,-2.00,-2.00,576.62,576.62)
403	1	20	stimulus_show1img	fix(0.00,0.00)	pic(stim403.png,-2.00,-2.00,576.62,576.62)
404	1	21	stimulus_show1img	fix(0.00,0.00)	pic(stim404.png,-2.00,-2.00,576.62,576.62)
405	1	22	stimulus_show1img	fix(0.00,0.00)	pic(stim405.png,-2.00,-2.00,576.62,576.62)
406	1	23	stimulus_show1img	fix(0.00,0.00)	pic(stim406.png,-2.00,-2.00,576.62,576.62)
407	1	24	stimulus_show1img	fix(0.00,0.00)	pic(stim407.png,-2.00,-2.00,576.62,576.62)
408	1	25	stimulus_show1img	fix(0.00,0.00)	pic(stim408.png,-2.00,-2.00,576.62,576.62)
409	1	26	stimulus_show1img	fix(0.00,0.00)	pic(stim409.png,-2.00,-2.00,576.62,576.62)
410	1	27	stimulus_show1img	fix(0.00,0.00)	pic(stim410.png,-2.00,-2.00,576.62,576.62)
411	1	28	stimulus_show1img	fix(0.00,0.00)	pic(stim411.png,-2.00,-2.00,576.62,576.62)
412	1	29	stimulus_show1img	fix(0.00,0.00)	pic(stim412.png,-2.00,-2.00,576.62,576.62)
413	1	30	stimulus_show1img	fix(0.00,0.00)	pic(stim413.png,-2.00,-2.00,576.62,576.62)
414	1	31	stimulus_show1img	fix(0.00,0.00)	pic(stim414.png,-2.00,-2.00,576.62,576.62)
415	1	32	stimulus_show1img	fix(0.00,0.00)	pic(stim415.png,-2.00,-2.00,576.62,576.62)
416	1	33	stimulus_show1img	fix(0.00,0.00)	pic(stim416.png,-2.00,-2.00,576.62,576.62)
417	1	34	stimulus_show1img	fix(0.00,0.00)	pic(stim417.png,-2.00,-2.00,576.62,576.62)
418	1	35	stimulus_show1img	fix(0.00,0.00)	pic(stim418.png,-2.00,-2.00,576.62,576.62)
419	1	36	stimulus_show1img	fix(0.00,0.00)	pic(stim419.png,-2.00,-2.00,576.62,576.62)
420	1	37	stimulus_show1img	fix(0.00,0.00)	pic(stim420.png,-2.00,-2.00,576.62,576.62)
421	1	38	stimulus_show1img	fix(0.00,0.00)	pic(stim421.png,-2.00,-2.00,576.62,576.62)
422	1	39	stimulus_show1img	fix(0.00,0.00)	pic(stim422.png,-2.00,-2.00,576.62,576.62)
423	1	40	stimulus_show1img	fix(0.00,0.00)	pic(stim423.png,-2.00,-2.00,576.62,576.62)
424	1	41	stimulus_show1img	fix(0.00,0.00)	pic(stim424.png,-2.00,-2.00,576.62,576.62)
425	1	42	stimulus_show1img	fix(0.00,0.00)	pic(stim425.png,-2.00,-2.00,576.62,576.62)
426	1	43	stimulus_show1img	fix(0.00,0.00)	pic(stim426.png,-2.00,-2.00,576.62,576.62)
427	1	44	stimulus_show1img	fix(0.00,0.00)	pic(stim427.png,-2.00,-2.00,576.62,576.62)
428	1	45	stimulus_show1img	fix(0.00,0.00)	pic(stim428.png,-2.00,-2.00,576.62,576.62)
429	1	46	stimulus_show1img	fix(0.00,0.00)	pic(stim429.png,-2.00,-2.00,576.62,576.62)
430	1	47	stimulus_show1img	fix(0.00,0.00)	pic(stim430.png,-2.00,-2.00,576.62,576.62)
431	1	48	stimulus_show1img	fix(0.00,0.00)	pic(stim431.png,-2.00,-2.00,576.62,576.62)
432	1	49	stimulus_show1img	fix(0.00,0.00)	pic(stim432.png,-2.00,-2.00,576.62,576.62)
433	1	50	stimulus_show1img	fix(0.00,0.00)	pic(stim433.png,-2.00,-2.00,576.62,576.62)
434	1	51	stimulus_show1img	fix(0.00,0.00)	pic(stim434.png,-2.00,-2.00,576.62,576.62)
435	1	52	stimulus_show1img	fix(0.00,0.00)	pic(stim435.png,-2.00,-2.00,576.62,576.62)
436	1	53	stimulus_show1img	fix(0.00,0.00)	pic(stim436.png,-2.00,-2.00,576.62,576.62)
437	1	54	stimulus_show1img	fix(0.00,0.00)	pic(stim437.png,-2.00,-2.00,576.62,576.62)
438	1	55	stimulus_show1img	fix(0.00,0.00)	pic(stim438.png,-2.00,-2.00,576.62,576.62)
439	1	56	stimulus_show1img	fix(0.00,0.00)	pic(stim439.png,-2.00,-2.00,576.62,576.62)
440	1	57	stimulus_show1img	fix(0.00,0.00)	pic(stim440.png,-2.00,-2.00,576.62,576.62)
441	1	58	stimulus_show1img	fix(0.00,0.00)	pic(stim441.png,-2.00,-2.00,576.62,576.62)
442	1	59	stimulus_show1img	fix(0.00,0.00)	pic(stim442.png,-2.00,-2.00,576.62,576.62)
443	1	60	stimulus_show1img	fix(0.00,0.00)	pic(stim443.png,-2.00,-2.00,576.62,576.62)
444	1	61	stimulus_show1img	fix(0.00,0.00)	pic(stim444.png,-2.00,-2.00,576.62,576.62)
445	1	62	stimulus_show1img	fix(0.00,0.00)	pic(stim445.png,-2.00,-2.00,576.62,576.62)
446	1	63	stimulus_show1img	fix(0.00,0.00)	pic(stim446.png,-2.00,-2.00,576.62,576.62)
447	1	64	stimulus_show1img	fix(0.00,0.00)	pic(stim447.png,-2.00,-2.00,576.62,576.62)
448	1	1	stimulus_show1img	fix(0.00,0.00)	pic(stim448.png,-2.00,-2.00,576.62,576.62)
449	1	2	stimulus_show1img	fix(0.00,0.00)	pic(stim449.png,-2.00,-2.00,576.62,576.62)
450	1	3	stimulus_show1img	fix(0.00,0.00)	pic(stim450.png,-2.00,-2.00,576.62,576.62)
451	1	4	stimulus_show1img	fix(0.00,0.00)	pic(stim451.png,-2.00,-2.00,576.62,576.62)
452	1	5	stimulus_show1img	fix(0.00,0.00)	pic(stim452.png,-2.00,-2.00,576.62,576.62)
453	1	6	stimulus_show1img	fix(0.00,0.00)	pic(stim453.png,-2.00,-2.00,576.62,576.62)
454	1	7	stimulus_show1img	fix(0.00,0.00)	pic(stim454.png,-2.00,-2.00,576.62,576.62)
455	1	8	stimulus_show1img	fix(0.00,0.00)	pic(stim455.png,-2.00,-2.00,576.62,576.62)
456	1	9	stimulus_show1img	fix(0.00,0.00)	pic(stim456.png,-2.00,-2.00,576.62,576.62)
457	1	10	stimulus_show1img	fix(0.00,0.00)	pic(stim457.png,-2.00,-2.00,576.62,576.62)
458	1	11	stimulus_show1img	fix(0.00,0.00)	pic(stim458.png,-2.00,-2.00,576.62,576.62)
459	1	12	stimulus_show1img	fix(0.00,0.00)	pic(stim459.png,-2.00,-2.00,576.62,576.62)
460	1	13	stimulus_show1img	fix(0.00,0.00)	pic(stim460.png,-2.00,-2.00,576.62,576.62)
461	1	14	stimulus_show1img	fix(0.00,0.00)	pic(stim461.png,-2.00,-2.00,576.62,576.62)
462	1	15	stimulus_show1img	fix(0.00,0.00)	pic(stim462.png,-2.00,-2.00,576.62,576.62)
463	1	16	stimulus_show1img	fix(0.00,0.00)	pic(stim463.png,-2.00,-2.00,576.62,576.62)
464	1	17	stimulus_show1img	fix(0.00,0.00)	pic(stim464.png,-2.00,-2.00,576.62,576.62)
465	1	18	stimulus_show1img	fix(0.00,0.00)	pic(stim465.png,-2.00,-2.00,576.62,576.62)
466	1	19	stimulus_show1img	fix(0.00,0.00)	pic(stim466.png,-2.00,-2.00,576.62,576.62)
467	1	20	stimulus_show1img	fix(0.00,0.00)	pic(stim467.png,-2.00,-2.00,576.62,576.62)
468	1	21	stimulus_show1img	fix(0.00,0.00)	pic(stim468.png,-2.00,-2.00,576.62,576.62)
469	1	22	stimulus_show1img	fix(0.00,0.00)	pic(stim469.png,-2.00,-2.00,576.62,576.62)
470	1	23	stimulus_show1img	fix(0.00,0.00)	pic(stim470.png,-2.00,-2.00,576.62,576.62)
471	1	24	stimulus_show1img	fix(0.00,0.00)	pic(stim471.png,-2.00,-2.00,576.62,576.62)
472	1	25	stimulus_show1img	fix(0.00,0.00)	pic(stim472.png,-2.00,-2.00,576.62,576.62)
473	1	26	stimulus_show1img	fix(0.00,0.00)	pic(stim473.png,-2.00,-2.00,576.62,576.62)
474	1	27	stimulus_show1img	fix(0.00,0.00)	pic(stim474.png,-2.00,-2.00,576.62,576.62)
475	1	28	stimulus_show1img	fix(0.00,0.00)	pic(stim475.png,-2.00,-2.00,576.62,576.62)
476	1	29	stimulus_show1img	fix(0.00,0.00)	pic(stim476.png,-2.00,-2.00,576.62,576.62)
477	1	30	stimulus_show1img	fix(0.00,0.00)	pic(stim477.png,-2.00,-2.00,576.62,576.62)
478	1	31	stimulus_show1img	fix(0.00,0.00)	pic(stim478.png,-2.00,-2.00,576.62,576.62)
479	1	32	stimulus_show1img	fix(0.00,0.00)	pic(stim479.png,-2.00,-2.00,576.62,576.62)
480	1	33	stimulus_show1img	fix(0.00,0.00)	pic(stim480.png,-2.00,-2.00,576.62,576.62)
481	1	34	stimulus_show1img	fix(0.00,0.00)	pic(stim481.png,-2.00,-2.00,576.62,576.62)
482	1	35	stimulus_show1img	fix(0.00,0.00)	pic(stim482.png,-2.00,-2.00,576.62,576.62)
483	1	36	stimulus_show1img	fix(0.00,0.00)	pic(stim483.png,-2.00,-2.00,576.62,576.62)
484	1	37	stimulus_show1img	fix(0.00,0.00)	pic(stim484.png,-2.00,-2.00,576.62,576.62)
485	1	38	stimulus_show1img	fix(0.00,0.00)	pic(stim485.png,-2.00,-2.00,576.62,576.62)
486	1	39	stimulus_show1img	fix(0.00,0.00)	pic(stim486.png,-2.00,-2.00,576.62,576.62)
487	1	40	stimulus_show1img	fix(0.00,0.00)	pic(stim487.png,-2.00,-2.00,576.62,576.62)
488	1	41	stimulus_show1img	fix(0.00,0.00)	pic(stim488.png,-2.00,-2.00,576.62,576.62)
489	1	42	stimulus_show1img	fix(0.00,0.00)	pic(stim489.png,-2.00,-2.00,576.62,576.62)
490	1	43	stimulus_show1img	fix(0.00,0.00)	pic(stim490.png,-2.00,-2.00,576.62,576.62)
491	1	44	stimulus_show1img	fix(0.00,0.00)	pic(stim491.png,-2.00,-2.00,576.62,576.62)
492	1	45	stimulus_show1img	fix(0.00,0.00)	pic(stim492.png,-2.00,-2.00,576.62,576.62)
493	1	46	stimulus_show1img	fix(0.00,0.00)	pic(stim493.png,-2.00,-2.00,576.62,576.62)
494	1	47	stimulus_show1img	fix(0.00,0.00)	pic(stim494.png,-2.00,-2.00,576.62,576.62)
495	1	48	stimulus_show1img	fix(0.00,0.00)	pic(stim495.png,-2.00,-2.00,576.62,576.62)
496	1	49	stimulus_show1img	fix(0.00,0.00)	pic(stim496.png,-2.00,-2.00,576.62,576.62)
497	1	50	stimulus_show1img	fix(0.00,0.00)	pic(stim497.png,-2.00,-2.00,576.62,576.62)
498	1	51	stimulus_show1img	fix(0.00,0.00)	pic(stim498.png,-2.00,-2.00,576.62,576.62)
499	1	52	stimulus_show1img	fix(0.00,0.00)	pic(stim499.png,-2.00,-2.00,576.62,576.62)
500	1	53	stimulus_show1img	fix(0.00,0.00)	pic(stim500.png,-2.00,-2.00,576.62,576.62)
501	1	54	stimulus_show1img	fix(0.00,0.00)	pic(stim501.png,-2.00,-2.00,576.62,576.62)
502	1	55	stimulus_show1img	fix(0.00,0.00)	pic(stim502.png,-2.00,-2.00,576.62,576.62)
503	1	56	stimulus_show1img	fix(0.00,0.00)	pic(stim503.png,-2.00,-2.00,576.62,576.62)
504	1	57	stimulus_show1img	fix(0.00,0.00)	pic(stim504.png,-2.00,-2.00,576.62,576.62)
505	1	58	stimulus_show1img	fix(0.00,0.00)	pic(stim505.png,-2.00,-2.00,576.62,576.62)
