Condition	Frequency	Block	Timing File	TaskObject#1	TaskObject#2	TaskObject#3	TaskObject#4
33	1	1	dms	fix(0.00,0.00)	pic(cir2.png,-1.00,-1.00,216.23,216.23)	pic(cir0.png,-6.00,0.00,216.23,216.23)	pic(rad0.png,6.00,0.00,216.23,216.23)
34	1	1	dms	fix(0.00,0.00)	pic(cir2.png,-1.00,-1.00,216.23,216.23)	pic(cir0.png,6.00,0.00,216.23,216.23)	pic(rad0.png,-6.00,0.00,216.23,216.23)
35	1	1	dms	fix(0.00,0.00)	pic(rad2.png,-1.00,-1.00,216.23,216.23)	pic(rad0.png,-6.00,0.00,216.23,216.23)	pic(cir0.png,6.00,0.00,216.23,216.23)
36	1	1	dms	fix(0.00,0.00)	pic(rad2.png,-1.00,-1.00,216.23,216.23)	pic(rad0.png,6.00,0.00,216.23,216.23)	pic(cir0.png,-6.00,0.00,216.23,216.23)
37	1	1	dms	fix(0.00,0.00)	pic(cir10.png,-1.00,-1.00,216.23,216.23)	pic(cir0.png,-6.00,0.00,216.23,216.23)	pic(rad0.png,6.00,0.00,216.23,216.23)
38	1	1	dms	fix(0.00,0.00)	pic(cir10.png,-1.00,-1.00,216.23,216.23)	pic(cir0.png,6.00,0.00,216.23,216.23)	pic(rad0.png,-6.00,0.00,216.23,216.23)
39	1	1	dms	fix(0.00,0.00)	pic(rad10.png,-1.00,-1.00,216.23,216.23)	pic(rad0.png,-6.00,0.00,216.23,216.23)	pic(cir0.png,6.00,0.00,216.23,216.23)
40	1	1	dms	fix(0.00,0.00)	pic(rad10.png,-1.00,-1.00,216.23,216.23)	pic(rad0.png,6.00,0.00,216.23,216.23)	pic(cir0.png,-6.00,0.00,216.23,216.23)
41	1	1	dms	fix(0.00,0.00)	pic(cir14.png,-1.00,-1.00,216.23,216.23)	pic(cir0.png,-6.00,0.00,216.23,216.23)	pic(rad0.png,6.00,0.00,216.23,216.23)
42	1	1	dms	fix(0.00,0.00)	pic(cir14.png,-1.00,-1.00,216.23,216.23)	pic(cir0.png,6.00,0.00,216.23,216.23)	pic(rad0.png,-6.00,0.00,216.23,216.23)
43	1	1	dms	fix(0.00,0.00)	pic(rad14.png,-1.00,-1.00,216.23,216.23)	pic(rad0.png,-6.00,0.00,216.23,216.23)	pic(cir0.png,6.00,0.00,216.23,216.23)
44	1	1	dms	fix(0.00,0.00)	pic(rad14.png,-1.00,-1.00,216.23,216.23)	pic(rad0.png,6.00,0.00,216.23,216.23)	pic(cir0.png,-6.00,0.00,216.23,216.23)
45	1	1	dms	fix(0.00,0.00)	pic(empty.png,-1.00,-1.00,216.23,216.23)	pic(cir0.png,-6.00,0.00,216.23,216.23)	pic(rad0.png,6.00,0.00,216.23,216.23)
46	1	1	dms	fix(0.00,0.00)	pic(empty.png,-1.00,-1.00,216.23,216.23)	pic(cir0.png,6.00,0.00,216.23,216.23)	pic(rad0.png,-6.00,0.00,216.23,216.23)
47	1	1	dms	fix(0.00,0.00)	pic(empty.png,-1.00,-1.00,216.23,216.23)	pic(rad0.png,-6.00,0.00,216.23,216.23)	pic(cir0.png,6.00,0.00,216.23,216.23)
48	1	1	dms	fix(0.00,0.00)	pic(empty.png,-1.00,-1.00,216.23,216.23)	pic(rad0.png,6.00,0.00,216.23,216.23)	pic(cir0.png,-6.00,0.00,216.23,216.23)
