Condition	Frequency	Block	Timing File	TaskObject#1	TaskObject#2
1	1	1	stimulus_show1img	fix(0.00,0.00)	pic(cir0.png,-0.1,-2.0,180.1950,180.1950)
2	1	1	stimulus_show1img	fix(0.00,0.00)	pic(cir0.png,-0.1,-2.0,180.1950,180.1950)
3	1	1	stimulus_show1img	fix(0.00,0.00)	pic(rad0.png,-0.1,-2.0,180.1950,180.1950)
4	1	1	stimulus_show1img	fix(0.00,0.00)	pic(rad0.png,-0.1,-2.0,180.1950,180.1950)
					
					
					
					
					
					
