Condition	Frequency	Block	Timing File	TaskObject#1	TaskObject#2
1	1	1	stimulus_show1img	fix(0.00,0.00)	pic(cir0.png,-2.00,-0.00,360.39,360.39)
2	1	1	stimulus_show1img	fix(0.00,0.00)	pic(cir0.png,-2.00,-0.00,360.39,360.39)
3	1	1	stimulus_show1img	fix(0.00,0.00)	pic(rad0.png,-2.00,-0.00,360.39,360.39)
4	1	1	stimulus_show1img	fix(0.00,0.00)	pic(rad0.png,-2.00,-0.00,360.39,360.39)
					
					
					
					
					
					
